year,region,value
2015,Крым,473.0
2015,Курганская область,655.0
2015,Курская область,475.0
2015,Ленинградская область,687.0
2015,Липецкая область,611.0
2015,Магаданская область,819.0
2015,Марий Эл,698.0
2015,Мордовия,688.0
2015,Москва,572.0
2015,Московская область,682.0
2015,Мурманская область,841.0
2015,Ненецкий автономный округ,826.0
2015,Нижегородская область,740.0
2015,Новгородская область,866.0
2015,Новосибирская область,569.0
2015,Омская область,569.0
2015,Оренбургская область,624.0
2015,Орловская область,643.0
2015,Пензенская область,617.0
2015,Пермский край,714.0
2015,Приморский край,640.0
2015,Псковская область,665.0
2015,Республика Алтай,491.0
2015,Республика Коми,924.0
2015,Республика Тыва,400.0
2015,Ростовская область,576.0
2015,Рязанская область,630.0
2015,Самарская область,665.0
2015,Санкт-Петербург,683.0
2015,Саратовская область,649.0
2015,Сахалинская область,733.0
2015,Свердловская область,724.0
2015,Севастополь,500.0
2015,Северная Осетия,499.0
2015,Смоленская область,687.0
2015,Ставропольский край,602.0
2015,Тамбовская область,752.0
2015,Татарстан,616.0
2015,Тверская область,746.0
2015,Томская область,662.0
2015,Тульская область,760.0
2015,Тюменская область,645.0
2015,Удмуртия,708.0
2015,Ульяновская область,619.0
2015,Хабаровский край,647.0
2015,Хакасия,712.0
2015,Ханты-Мансийский автономный округ,645.0
2015,Челябинская область,711.0
2015,Чечня,238.0
2015,Чувашия,789.0
2015,Чукотский автономный округ,1066.0
2015,Якутия,622.0
2015,Ямало-Ненецкий автономный округ,725.0
2015,Ярославская область,758.0
2016,Адыгея,500.0
2016,Алтайский край,609.0
2016,Амурская область,639.0
2016,Архангельская область,858.0
2016,Астраханская область,620.0
2016,Башкортостан,605.0
2016,Белгородская область,662.0
2016,Брянская область,660.0
2016,Бурятия,549.0
2016,Владимирская область,828.0
2016,Волгоградская область,632.0
2016,Вологодская область,790.0
2016,Воронежская область,629.0
2016,Дагестан,259.0
2016,Еврейская автономная область,738.0
2016,Забайкальский край,538.0
2016,Ивановская область,797.0
2016,Ингушетия,197.0
2016,Иркутская область,660.0
2016,Кабардино-Балкария,624.0
2016,Калининградская область,703.0
2016,Калмыкия,643.0
2016,Калужская область,662.0
2016,Камчатский край,806.0
2016,Карачаево-Черкесия,517.0
2016,Карелия,807.0
2016,Кемеровская область,661.0
2016,Кировская область,750.0
2016,Костромская область,687.0
2016,Краснодарский край,593.0
2016,Красноярский край,637.0
2016,Крым,501.0
2016,Курганская область,704.0
2016,Курская область,492.0
2016,Ленинградская область,725.0
2016,Липецкая область,623.0
2016,Магаданская область,865.0
2016,Марий Эл,691.0
2016,Мордовия,713.0
2016,Москва,561.0
2016,Московская область,680.0
2016,Мурманская область,843.0
2016,Ненецкий автономный округ,843.0
2016,Нижегородская область,740.0
2016,Новгородская область,875.0
2016,Новосибирская область,577.0
2016,Омская область,570.0
2016,Оренбургская область,634.0
2016,Орловская область,647.0
2016,Пензенская область,624.0
2016,Пермский край,735.0
2016,Приморский край,649.0
